source_id,category,title,year,url,license_or_terms,status,note
AR01,paper,Attention Residuals,2026,https://arxiv.org/abs/2603.15031,paper public; code terms require verification,verified_paper,Original and Block AttnRes
AR02,paper,Delta Attention Residuals,2026,https://arxiv.org/abs/2605.18855,paper public; code terms require verification,verified_paper,Delta routing and pretrained conversion
AR03,paper,Multi-Head Attention Residuals,2026,https://arxiv.org/abs/2607.27230,paper public; code terms require verification,verified_paper,Multi-head depth routing and 8B mid-training
AR04,paper,Low-Rank Attention Residuals,2026,https://arxiv.org/abs/2607.09694,paper public; artifact terms require verification,verified_paper,Low-rank routing keys
AR05,paper,HAARES Half-Split Residual Basis Routing for Deep Transformers,2026,https://arxiv.org/abs/2606.06564,paper public; artifact terms require verification,verified_paper,"TITLE CORRECTED 2026-08-18: v1 (2026-06-04) was titled WAV Multi-Resolution Block Residual Routing; v2 (2026-06-17) renamed the method to HAARES. Cite the v2 title. Kehan Wang; 201M 48-layer OpenWebText"
AR06,paper,Dual Attention Residuals,2026,https://arxiv.org/abs/2607.18730,paper public; artifact terms require verification,verified_paper,Cross-stream reciprocal addressing; 0.1B-1B dense plus 7B MoE; overlaps our scale band
AR07,paper,Role-Decoupled Attention Residuals,2026,https://arxiv.org/abs/2608.01075,paper public; artifact terms require verification,verified_paper,Kehan Wang; 120M/343M FineWeb-Edu 2.0B tokens 5 seeds; current bar for seed-matched rigour
AR08,paper,When Does Routing Become Interpretable? Causal Probes on Block Attention Residuals,2026,https://arxiv.org/abs/2606.13168,paper public; artifact terms require verification,verified_paper,"SEVERE OVERLAP: causal routing ablation on Block AttnRes using Qwen3-0.6B our exact pilot model; pre-empts contribution 4"
AR09,paper,Attention Sinks and Outliers in Attention Residuals,2026,https://arxiv.org/abs/2605.17887,paper public; artifact terms require verification,verified_paper,Occupies part of the routing-diagnostics space
AR10,paper,Probing Routing-Conditional Calibration in Attention-Residual Transformers,2026,https://arxiv.org/abs/2605.09850,paper public; artifact terms require verification,verified_paper,Further crowds the AttnRes analysis niche
AR11,paper,DenseFormer Enhancing Information Flow in Transformers via Depth Weighted Averaging,2024,https://arxiv.org/abs/2402.02622,paper public,verified_paper,Prior art for learned depth aggregation; static input-independent weights; reviewer will ask why not a condition
AR12,paper,DeepCrossAttention Supercharging Transformer Residual Connections,2025,https://arxiv.org/abs/2502.06785,paper public,verified_paper,Closest pre-2026 ancestor of input-dependent depth routing
AR13,paper,Hyper-Connections,2024,https://arxiv.org/abs/2409.19606,paper public,verified_paper,Alternative residual topology family; width-wise multi-stream not depth-wise routing
AR14,paper,mHC Manifold-Constrained Hyper-Connections,2025,https://arxiv.org/abs/2512.24880,paper public,verified_paper,Spawned a large 2026 follow-up literature (xHC Frac-Connections mHC-lite TBP-mHC JPmHC and others)
AR15,paper,Kimi K3 Open Frontier Intelligence,2026,https://arxiv.org/abs/2607.24653,paper public,verified_paper,AttnRes already production-adopted at frontier scale; weakens any first-to-apply framing
AR16,paper,Motif 3 Technical Report,2026,https://arxiv.org/abs/2608.09119,paper public,verified_paper,"ONLY arXiv hit intersecting AttnRes/hyper-connections with multilingual (query T4); 314B MoE technical report not a controlled study"
CODE01,code,Delta Attention Residuals official implementation,2026,https://github.com/wdlctc/delta-attention-residuals-code,MIT,verified_license,"LICENSE CORRECTION 2026-08-18: previously recorded in src/README.md as unlicensed. It is MIT. Ships modeling_qwen3_attnres.py DDP 220M-1B FSDP 7B+ fine-tuning eval and WANDB_RUNS.md per-experiment configs"
TH01,paper,Typhoon 2 A Family of Open Text and Multimodal Thai Large Language Models,2024,https://arxiv.org/abs/2412.13702,paper public,verified_paper,Thai CPT engineering baseline; no architectural variation
TH02,paper,SEA-LION Southeast Asian Languages in One Network,2025,https://arxiv.org/abs/2504.05747,paper public,verified_paper,Regional CPT baseline; no architecture study
TH03,paper,JAI-1 A Thai-Centric Large Language Model,2025,https://arxiv.org/abs/2510.08620,paper public,verified_paper,Thai-centric model-building state of the art; no residual routing
TH04,paper,Mangosteen An Open Thai Corpus for Language Model Pretraining,2025,https://arxiv.org/abs/2507.14664,paper public,verified_paper,Candidate Thai data source and Thai data-quality reference
VEN01,venue,iSAI-NLP 2026 official site,2026,https://isai-nlp2026.aiat.or.th/,public site,verified_venue,"Submission extended 2026-09-01; notification 2026-10-03; camera-ready 2026-10-10; conference 2026-11-19..21 Bangkok in-person only; EasyChair isainlp2026"
BM01,model,Llama 3.2 1B,2024,https://huggingface.co/meta-llama/Llama-3.2-1B,Llama 3.2 Community License,verified_model_card,Final-model frontrunner pending terms and screen
BM02,model,Gemma 3 1B PT,2025,https://huggingface.co/google/gemma-3-1b-pt,Gemma terms and gated access,verified_model_card,Exact-size fallback
BM03,model,Qwen2.5 1.5B,2024,https://huggingface.co/Qwen/Qwen2.5-1.5B,Apache-2.0,verified_model_card,Thai-supported fallback pending size approval
BM04,model,OLMo 2 0425 1B,2025,https://huggingface.co/allenai/OLMo-2-0425-1B,Apache-2.0,verified_model_card,Open-science replication
BM05,model,Qwen3 0.6B Base,2025,https://huggingface.co/Qwen/Qwen3-0.6B-Base,Apache-2.0,verified_model_card,Cheap pilot only
DS01,dataset,SEA-PILE v2,2025,https://huggingface.co/datasets/aisingapore/SEA-PILE-v2,ODC-By 1.0 plus CommonCrawl terms,verified_dataset_card,Primary Thai candidate subset th
DS02,dataset,ThaiLLM Data Repository,2026,https://data-repository.thaillm.or.th/,per-component audit required,pending_provenance,Do not ingest as one corpus without source audit
DS03,dataset,FineWeb-Edu,2024,https://huggingface.co/datasets/HuggingFaceFW/fineweb-edu,ODC-By 1.0,verified_dataset_card,English replay candidate
BM06,model,Sailor2 1B,2024,https://huggingface.co/sail/Sailor2-1B,Apache-2.0,verified_model_card,"EVALUATED 2026-08-18 rev 75c2856ffc7e6a6e64127f40c5f54a953deb682e; 988064640 params 48L d896; REJECTED: already Thai/SEA continued-pretrained so Thai acquisition cannot be measured from it"
BM07,model,Falcon3 1B Base,2024,https://huggingface.co/tiiuae/Falcon3-1B-Base,Falcon 3 TII custom license,verified_model_card,"EVALUATED 2026-08-18 rev cb37ef3559b157b5c9d9226296ba01a5162da1f7; 1669408768 params; REJECTED: Thai unsupported (en/fr/es/pt only) and 0.737 Thai chars/token"
BM08,model,SmolLM2 1.7B,2024,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B,Apache-2.0,verified_model_card,"EVALUATED 2026-08-18 rev effd688a12921b4cc83e3312b6feb579f70f9c71; 1711376384 params; REJECTED: English-only and 0.583 Thai chars/token (worst in set); only 2 vocab pieces contain Thai"
BM09,model,Granite 3.3 2B Base,2025,https://huggingface.co/ibm-granite/granite-3.3-2b-base,Apache-2.0,verified_model_card,"EVALUATED 2026-08-18 rev c15dc681f4b2aeb4e576cdaae5434edfc17ed14d; 2533525504 params; REJECTED: size out of band and residual_multiplier/attention_multiplier/logits_scaling interact with the residual stream (AttnRes confound risk)"
