work_id,title,venue_or_id,date_first_posted,observation,architecture_intervention,pretrained_conversion,target_language,model_scale,token_matched_eval,flop_or_gpu_hour_matched_eval,retention_eval,routing_mechanism_analysis,overlaps_with_us,exact_non_overlap_remaining
NW01,Attention Residuals (AttnRes / Block AttnRes),arXiv:2603.15031,2026-03-16,Fixed unit-weight residual accumulation causes uncontrolled hidden-state growth and dilutes each layer's contribution,Replace fixed residual sum with softmax attention over preceding layer outputs; Block AttnRes partitions layers into blocks,No - from-scratch pretraining,English/general web (language-agnostic),up to 48B trained on 1.4T tokens,Yes (validation loss vs tokens),Partial - memory/communication overhead motivates Block variant; no quality-per-GPU-hour curve,No,Partial - output magnitude and gradient distribution across depth,Defines the method family and the Block variant we adopt as D1's backbone,No language-adaptation setting; no CPT from an existing checkpoint; no retention measurement; no compute-normalised quality curve
NW02,Delta Attention Residuals,arXiv:2605.18855,2026-05-13,Cumulative hidden states are redundant so routing collapses to near-uniform (max weight ~0.2) in deep layers,Route over per-sublayer or per-block deltas instead of cumulative states; learned zero-init query vector w_l; additive output h + sum(alpha_i v_i),Yes - explicitly enables converting pretrained checkpoints via standard fine-tuning,Not specified (general LM corpora),220M-7.6B,Yes (1.7-8.2% validation perplexity gains),No GPU-hour or wall-clock matched analysis reported in abstract,No,Yes - routing contrast / collapse diagnostics (max weight),"Directly supplies our D1 condition, the conversion recipe, and the collapse diagnostic",Conversion is demonstrated as generic fine-tuning not as language adaptation; no target-language acquisition curve; no source-language retention; no compute-normalised comparison
NW03,Multi-Head Attention Residuals (MHAR),arXiv:2607.27230,2026-07-22,A single routing query shared across the full width forces all feature subspaces to read depth history through one distribution,Reshape routing query into H per-subspace heads each with its own softmax over depth history; zero added parameters,Yes - 8B mid-training applied on top of Delta AttnRes,Not specified,100M / 350M / 1B / 8B,Yes (validation loss at matched scale),"Partial - reports fused Triton kernels raising AttnRes throughput from 0.2-0.5x to 0.55-0.88x of baseline; no quality-per-GPU-hour Pareto",No,Partial - U-shaped validation loss vs head count (optimum H=4 or H=8),"Supplies our D2 condition, the H=4/H=8 candidate set, and the throughput-overhead range we must overcome",No language adaptation; no retention; throughput reported as a ratio not as a matched quality-vs-GPU-hour frontier
NW04,Low-Rank Attention Residuals (LR-AttnRes),arXiv:2607.09694,2026-06-19,Using each layer output as both full-dimensional key and value couples routing with representation and scales scores with width d,Keep full-dimensional values but use r-dimensional routing keys (Projected and Sliced variants),Not stated,Not specified,Not specified in abstract,Yes,Partial - explicitly frames a validation-vs-FLOPs tradeoff and reduces residual-side FLOPs,No,Partial - shows routing needs far fewer dimensions than model width,Occupies the compute-efficiency axis of AttnRes design,Efficiency axis is FLOPs of the router itself not end-to-end GPU-hours of a language-adaptation run; no Thai; no retention
NW05,"HAARES: Half-Split Residual Basis Routing (v1 title: WAV: Multi-Resolution Block Residual Routing)",arXiv:2606.06564,2026-06-04,A cumulative block summary compresses an ordered sequence of updates into one vector and loses intra-block trajectory,Add an RMS-matched half-split detail basis alongside the cumulative block source,No - from-scratch,English (OpenWebText; character-level cross-domain),201M with 48 layers,Yes (three seeds),No,No,Partial - depth-dependent gain analysis,Alternative block-source design competing with our D1 source definition,No pretrained conversion; no non-English; no retention; no compute matching
NW06,Dual Attention Residuals (DAR),arXiv:2607.18730,2026-07-21,Historical retrieval and multi-stream residuals have been studied in isolation; per-stream retrievers cannot let one trajectory influence another's depth selection,Reciprocal cross-stream addressing - depth weights from the opposite stream applied to the target stream's own history; block-form variant,Not stated,Not specified,0.1B-1B dense plus 7B sparse MoE,Yes (validation loss),No,No,No,"Covers the 0.1B-1B dense band we target, and combines AttnRes with multi-stream residuals",No conversion of an existing checkpoint; no language adaptation; no retention; no compute matching
NW07,Role-Decoupled Attention Residuals (RD-AttnRes),arXiv:2608.01075,2026-08-02,Queries/keys and values are forced to share one depth mixture although they play different roles,Share one depth route between queries and keys; learn an independent value route (one width vector per layer),No - frozen paired from-scratch protocol,English (FineWeb-Edu),120M and 343M,Yes (2.0B tokens; five matched seeds per scale),No,No,Partial,Most recent AttnRes design variant; sets the current bar for seed-matched rigour (5 seeds),No conversion; no non-English; no retention; no compute matching; small scale only
NW08,When Does Routing Become Interpretable? Causal Probes on Block Attention Residuals,arXiv:2606.13168,2026-06-11,Architectural exposure of routing is necessary but not sufficient for mechanistic interpretation; routing mass dissociates from causal importance,No new architecture - causal routing-ablation interventions on two matched checkpoints,Compares vanilla Qwen3 wrapped with a deterministic recency schedule vs Block AttnRes trained with routing,English/general,0.6B (Qwen3),Not the focus,No,No,"Yes - this is the paper's whole contribution: routing ablation, causal importance vs routing mass","SEVERE: pre-empts our mechanism-analysis contribution AND uses Qwen3-0.6B, our exact pilot model",Does not study language-conditioned routing (Thai vs English vs code-switch); no CPT; no acquisition/retention outcome linked to routing
NW09,Attention Sinks and Outliers in Attention Residuals,arXiv:2605.17887,2026-05-18,AttnRes exhibits sink/outlier phenomena analogous to sequence attention,Diagnostic study of AttnRes routing distributions,No,English/general,Not specified,No,No,No,Yes - sink and outlier characterisation,Occupies part of the routing-diagnostics space we planned (entropy / max-weight),No language conditioning; no CPT; no retention
NW10,Probing Routing-Conditional Calibration in Attention-Residual Transformers,arXiv:2605.09850,2026-05-11,Calibration varies conditional on routing behaviour,Probing study,No,English/general,Not specified,No,No,No,Yes,Further crowds the AttnRes-analysis niche,No Thai; no CPT; no efficiency
